dataset,region,noise,seed,init_mae,init_in,init_out,region_share_R,prec_knn,arm,mae,err_in,err_out,n_in_region,error
diamonds,sparse_init,clean,7000,0.20693088243787042,0.1902942342432028,0.20878967414833635,0.11066666666666666,0.14222222222222222,all_data,0.19676242022520535,0.19233762684134798,0.1972567968067258,,
diamonds,sparse_init,clean,7000,0.20693088243787042,0.1902942342432028,0.20878967414833635,0.11066666666666666,0.14222222222222222,random,0.20561761734577497,0.20128494171942482,0.20610170172648448,,
diamonds,sparse_init,clean,7000,0.20693088243787042,0.1902942342432028,0.20878967414833635,0.11066666666666666,0.14222222222222222,uniform,0.2028489696841647,0.20224676434058947,0.20291625332733235,16.0,
diamonds,sparse_init,clean,7000,0.20693088243787042,0.1902942342432028,0.20878967414833635,0.11066666666666666,0.14222222222222222,rho,0.20331265496460138,0.19257467769716577,0.20451239561538215,21.0,
diamonds,sparse_init,clean,7000,0.20693088243787042,0.1902942342432028,0.20878967414833635,0.11066666666666666,0.14222222222222222,ws_default,0.20791863090058688,0.19382169165234467,0.2094936641351042,27.0,
diamonds,sparse_init,clean,7000,0.20693088243787042,0.1902942342432028,0.20878967414833635,0.11066666666666666,0.14222222222222222,ws_tuned,0.2080702094328178,0.20778532816861886,0.20810203885700013,24.0,
diamonds,sparse_init,clean,7000,0.20693088243787042,0.1902942342432028,0.20878967414833635,0.11066666666666666,0.14222222222222222,kcenter_a1,0.2014793841454937,0.19380170102123942,0.20233720199317307,19.0,
diamonds,sparse_init,clean,7000,0.20693088243787042,0.1902942342432028,0.20878967414833635,0.11066666666666666,0.14222222222222222,rho_a1,0.20933372513013362,0.21540242687630057,0.2086556767415958,12.0,
diamonds,sparse_init,clean,7000,0.20693088243787042,0.1902942342432028,0.20878967414833635,0.11066666666666666,0.14222222222222222,rho_landscape_a1,0.20911599888053292,0.2128516779460929,0.20869861617226299,14.0,
diamonds,sparse_init,clean,7000,0.20693088243787042,0.1902942342432028,0.20878967414833635,0.11066666666666666,0.14222222222222222,rho_filter_a1,0.20168075106498373,0.1913767713008026,0.20283200172234916,32.0,
