dataset,region,noise,seed,init_mae,init_in,init_out,region_share_R,prec_knn,arm,mae,err_in,err_out,n_in_region,error
synth2d,sparse_init,clean,7000,0.2258191088807652,0.5421027725253446,0.19329255620929348,0.12266666666666666,0.38222222222222224,uniform,0.08644107590167127,0.2578722520579441,0.06881112588615161,21,
synth2d,sparse_init,clean,7000,0.2258191088807652,0.5421027725253446,0.19329255620929348,0.12266666666666666,0.38222222222222224,kcenter_a1,0.08190246172875931,0.19918378480489476,0.06984127245183665,44,
synth2d,sparse_init,clean,7000,0.2258191088807652,0.5421027725253446,0.19329255620929348,0.12266666666666666,0.38222222222222224,loss_a1,0.0799391912844381,0.1387989108630383,0.07388606875815802,81,
synth2d,sparse_init,clean,7000,0.2258191088807652,0.5421027725253446,0.19329255620929348,0.12266666666666666,0.38222222222222224,jtt_a1,0.0833124584404679,0.11674706051492022,0.07987405023154297,81,
synth2d,sparse_init,clean,7000,0.2258191088807652,0.5421027725253446,0.19329255620929348,0.12266666666666666,0.38222222222222224,rho_a1,0.08924615421574748,0.1575497820545597,0.08222182193455725,86,
synth2d,sparse_init,clean,7000,0.2258191088807652,0.5421027725253446,0.19329255620929348,0.12266666666666666,0.38222222222222224,rho_landscape_a1,0.08438130989669068,0.15471597314355096,0.07714810631492094,81,
synth2d,sparse_init,clean,7000,0.2258191088807652,0.5421027725253446,0.19329255620929348,0.12266666666666666,0.38222222222222224,rho_filter_a1,0.08497110335422672,0.1484369551284387,0.07844428705652035,80,
synth2d,sparse_init,clean,7001,0.23657340069389277,0.47648609614125437,0.21094907849060512,0.11466666666666667,0.3466666666666667,uniform,0.089510875045982,0.1947594589917389,0.07826960404347451,24,
synth2d,sparse_init,clean,7001,0.23657340069389277,0.47648609614125437,0.21094907849060512,0.11466666666666667,0.3466666666666667,kcenter_a1,0.09006926682701129,0.18012927755531624,0.08045023967119343,36,
synth2d,sparse_init,clean,7001,0.23657340069389277,0.47648609614125437,0.21094907849060512,0.11466666666666667,0.3466666666666667,loss_a1,0.08335777138615101,0.12723292318715196,0.07867160409362574,66,
synth2d,sparse_init,clean,7001,0.23657340069389277,0.47648609614125437,0.21094907849060512,0.11466666666666667,0.3466666666666667,jtt_a1,0.08523633224725437,0.11596523070622318,0.08195427502391125,66,
synth2d,sparse_init,clean,7001,0.23657340069389277,0.47648609614125437,0.21094907849060512,0.11466666666666667,0.3466666666666667,rho_a1,0.08556759058555884,0.13596271576966024,0.08018504539434047,65,
synth2d,sparse_init,clean,7001,0.23657340069389277,0.47648609614125437,0.21094907849060512,0.11466666666666667,0.3466666666666667,rho_landscape_a1,0.08359903980869343,0.1301192547625227,0.07863036162048699,65,
synth2d,sparse_init,clean,7001,0.23657340069389277,0.47648609614125437,0.21094907849060512,0.11466666666666667,0.3466666666666667,rho_filter_a1,0.08528798892391792,0.13615047869561966,0.07985552598759338,66,
synth2d,sparse_init,clean,7002,0.2930831752018095,0.3237113660803672,0.28968949340215805,0.124,0.17333333333333334,uniform,0.10031739731836016,0.1410229583092538,0.09580711716413452,26,
synth2d,sparse_init,clean,7002,0.2930831752018095,0.3237113660803672,0.28968949340215805,0.124,0.17333333333333334,kcenter_a1,0.10793816425614565,0.13770632922576406,0.10463977552443843,45,
synth2d,sparse_init,clean,7002,0.2930831752018095,0.3237113660803672,0.28968949340215805,0.124,0.17333333333333334,loss_a1,0.08645909897707836,0.1555211155794153,0.07880685109473111,36,
synth2d,sparse_init,clean,7002,0.2930831752018095,0.3237113660803672,0.28968949340215805,0.124,0.17333333333333334,jtt_a1,0.1009892493911606,0.17421414979601255,0.09287574334796816,36,
synth2d,sparse_init,clean,7002,0.2930831752018095,0.3237113660803672,0.28968949340215805,0.124,0.17333333333333334,rho_a1,0.08944097639960501,0.16562906566320212,0.08099914146037279,31,
synth2d,sparse_init,clean,7002,0.2930831752018095,0.3237113660803672,0.28968949340215805,0.124,0.17333333333333334,rho_landscape_a1,0.09609385915897092,0.1667889951493556,0.08826065747605967,34,
synth2d,sparse_init,clean,7002,0.2930831752018095,0.3237113660803672,0.28968949340215805,0.124,0.17333333333333334,rho_filter_a1,0.09148969153146333,0.17394967828045144,0.08235291432711837,32,
synth2d,sparse_init,clean,7003,0.29880488500121005,0.47897128769789715,0.27978234054843654,0.126,0.24,uniform,0.10960973699178521,0.19497465092087057,0.10059663662669106,20,
synth2d,sparse_init,clean,7003,0.29880488500121005,0.47897128769789715,0.27978234054843654,0.126,0.24,kcenter_a1,0.10191272409787375,0.16146368194226285,0.0956251436952876,37,
synth2d,sparse_init,clean,7003,0.29880488500121005,0.47897128769789715,0.27978234054843654,0.126,0.24,loss_a1,0.10880598481860324,0.15445760936163896,0.10398594043622633,50,
synth2d,sparse_init,clean,7003,0.29880488500121005,0.47897128769789715,0.27978234054843654,0.126,0.24,jtt_a1,0.12005478293655977,0.1713076517569506,0.11464334128664565,50,
synth2d,sparse_init,clean,7003,0.29880488500121005,0.47897128769789715,0.27978234054843654,0.126,0.24,rho_a1,0.10580416583163507,0.1485183917059501,0.10129426138608827,51,
