dataset,region,noise,seed,n_init,iters_initial,init_mae,init_in,init_out,region_share_R,prec_knn,prec_evtgpr,arm,alpha,top_q,mae,err_in,err_out,n_in_region,error
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,random,0.0,,0.24640681855865684,0.4743988660675436,0.2194455001084866,,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_knn,0.1,0.7,0.25138316598379973,0.46993621429612337,0.22553806130498708,25.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_knn,0.1,0.85,0.23198958061453376,0.46624444480781757,0.20428764951200115,22.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_knn,0.1,0.95,0.24732530766844643,0.42820583142533475,0.22593518702288765,31.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_evtgpr,0.1,0.85,0.24538157794250906,0.4193323261904997,0.22481094151284736,33.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_knn,0.2,0.7,0.25002390956480397,0.4571205953550627,0.2255335830092324,22.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_knn,0.2,0.85,0.24743369467116014,0.44963462313660846,0.2235223184506165,25.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_knn,0.2,0.95,0.24565905431618723,0.42967073824059515,0.22389865669247333,22.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_evtgpr,0.2,0.85,0.2610965409885557,0.45074810787801445,0.23866919606425013,28.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_knn,0.35,0.7,0.2525388463945112,0.4443936166190593,0.22985096051109385,37.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_knn,0.35,0.85,0.2531374775624106,0.4368900498613238,0.23140772131906692,37.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_knn,0.35,0.95,0.2665402058825949,0.442047170307614,0.24578553829752833,32.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_evtgpr,0.35,0.85,0.2602872133952697,0.47066809695444317,0.23540851232019827,39.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_knn,0.5,0.7,0.24125819846267638,0.4551253750473121,0.21596722398817234,29.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_knn,0.5,0.85,0.25235889444884274,0.4402699014026642,0.23013738034723066,34.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_knn,0.5,0.95,0.2612345463441192,0.4581629717835116,0.23794667271793435,37.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_evtgpr,0.5,0.85,0.27276457537823257,0.4553947121190555,0.2511675533370337,43.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_knn,0.75,0.7,0.24356372323980213,0.4296271746921694,0.22156069277730522,35.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_knn,0.75,0.85,0.2672533987898817,0.4516738861561305,0.2454446579020083,46.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_knn,0.75,0.95,0.26461684752629255,0.46777073025600374,0.24059277920237088,38.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_evtgpr,0.75,0.85,0.2727474344203187,0.4236362292640056,0.2549040013146772,53.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_knn,1.0,0.7,0.2659051735852942,0.4582830829544024,0.2431554236095792,44.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_knn,1.0,0.85,0.2844025672907374,0.4544292983014186,0.26429596756540374,58.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_knn,1.0,0.95,0.26293369204920813,0.47693609269716986,0.2376267265825915,30.0,
synth2d,hard,clean,6100,250,400,0.5356752280644125,0.7808945561977172,0.5066766885619277,0.10971428571428571,0.29277566539923955,0.34220532319391633,ws_region_evtgpr,1.0,0.85,0.2901842236704538,0.439766942338543,0.27249524128392827,70.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,random,0.0,,0.22819069661675448,0.6262957823571069,0.18023966388052157,,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_knn,0.1,0.7,0.21755832224277777,0.6200059540987714,0.16908423773351247,23.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_knn,0.1,0.85,0.22147173940188009,0.5711047070864211,0.17935908503091297,29.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_knn,0.1,0.95,0.21252596860093825,0.541557102103598,0.1728947676468364,26.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_evtgpr,0.1,0.85,0.21414121233815134,0.5769404317397141,0.17044270692003596,26.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_knn,0.2,0.7,0.20847410939097855,0.5964525668383541,0.16174281059479603,20.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_knn,0.2,0.85,0.21006931571588167,0.6016316685369066,0.1629063432472428,26.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_knn,0.2,0.95,0.2220143056133546,0.5561573263495387,0.1817673871493325,31.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_evtgpr,0.2,0.85,0.22181682504648453,0.668056839926757,0.16806802773597554,21.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_knn,0.35,0.7,0.21702576843424723,0.5905479815484579,0.1720356979471014,30.0,
