task,region,noise,seed,init_mae,init_in,init_out,p_gate,cx,cy,detect_dist,arm,hp,mae,err_in,err_out,ess
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,uniform,uniform,0.11331018969132167,0.32341800967210976,0.08163685894623164,1.0
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,weakspot,"weakspot|alpha=0.2,sigma=0.2",0.12003426791944673,0.3106538671734858,0.0912987472033603,0.9361377866982548
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,loss,loss|alpha=0.2,0.1189264205544259,0.3186757688544295,0.08881460855523089,0.9458217374612957
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,jtt,"jtt|q=0.2,lam=2",0.11524986035758988,0.3071530759626671,0.08632083706154259,0.9000000000000001
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,density,density|alpha=0.8,0.11327911565813412,0.3164036978792802,0.08265849394240324,0.9649966484883478
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,smoothed_loss,smoothed_loss|alpha=0.2,0.11573445974980265,0.3145181515002413,0.08576821853080671,0.9710298987843584
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,random_centre,"random_centre|alpha=0.2,sigma=0.2",0.11374428308302957,0.3219612273290916,0.08235599804708697,0.9282622533522673
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,oracle,"oracle|alpha=0.2,sigma=0.2",0.12124773474602958,0.31432278675974995,0.09214205947123401,0.9308771142284467
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,uniform,uniform,0.1042737929699459,0.33925082268130813,0.06877366617902067,1.0
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,weakspot,"weakspot|alpha=0.2,sigma=0.2",0.09740591414517259,0.3149704100178406,0.06453645793419398,0.937538332232813
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,loss,loss|alpha=0.2,0.10274899018443504,0.31762714777273154,0.0702853836423183,0.9415646696302835
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,jtt,"jtt|q=0.2,lam=2",0.09910521407069359,0.32190920764986186,0.06544417906952428,0.9
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,density,density|alpha=0.8,0.10401250071018364,0.3333682308015299,0.0693616350129299,0.9638693179511442
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,smoothed_loss,smoothed_loss|alpha=0.2,0.10211295098755553,0.323554199931765,0.06865779826936562,0.9747046765123104
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,random_centre,"random_centre|alpha=0.2,sigma=0.2",0.10241601262287034,0.33462140350368247,0.06733462263368291,0.9272937629298557
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,oracle,"oracle|alpha=0.2,sigma=0.2",0.09864963800753608,0.3173957524400063,0.0656016638846449,0.9357492995872834
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,uniform,uniform,0.09806364787715796,0.35588198349018235,0.0633221700285944,1.0
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,weakspot,"weakspot|alpha=0.2,sigma=0.2",0.10343733301435365,0.3400290138787944,0.0715561845290744,0.9353292680254458
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,loss,loss|alpha=0.2,0.10792705512490579,0.33859423142886447,0.0768442441335922,0.9218390450852723
