task,region,noise,seed,init_mae,init_in,init_out,p_gate,cx,cy,detect_dist,arm,hp,mae,err_in,err_out,ess
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,uniform,uniform,0.11331018969132167,0.32341800967210976,0.08163685894623164,1.0
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,weakspot,"weakspot|alpha=0.2,sigma=0.05",0.12765814716516652,0.32612344578714725,0.09773990306910267,0.4018617450046303
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,weakspot,"weakspot|alpha=0.2,sigma=0.1",0.12500163967708475,0.30485987716541124,0.09788837257585258,0.7596546687816363
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,weakspot,"weakspot|alpha=0.2,sigma=0.2",0.12003426791944673,0.3106538671734858,0.0912987472033603,0.9361377866982548
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,weakspot,"weakspot|alpha=0.5,sigma=0.05",0.15105859290635565,0.33542846010766697,0.12326520671145139,0.0970627595349529
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,weakspot,"weakspot|alpha=0.5,sigma=0.1",0.13965564505676034,0.2868008495117389,0.11747380180750577,0.3358609542481625
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,weakspot,"weakspot|alpha=0.5,sigma=0.2",0.11975574905251576,0.2993118290296325,0.09268803158761094,0.7010815383066621
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,weakspot,"weakspot|alpha=0.8,sigma=0.05",0.16436657967426527,0.34579997333799056,0.13701586095165535,0.04029871339299169
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,weakspot,"weakspot|alpha=0.8,sigma=0.1",0.14322533317083533,0.28141896758214024,0.1223929210789125,0.16495656500176073
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,weakspot,"weakspot|alpha=0.8,sigma=0.2",0.11718019289930098,0.28810263456021723,0.09141397902406503,0.4781254983187376
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,weakspot,"weakspot|alpha=1.0,sigma=0.05",3.111039081492515,0.45197432726698217,3.5118877383435447,0.02617085115834375
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,weakspot,"weakspot|alpha=1.0,sigma=0.1",0.5317793753751434,0.2727930510239455,0.570821042222102,0.11223734487638862
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,weakspot,"weakspot|alpha=1.0,sigma=0.2",0.15026122273323225,0.2765150993226644,0.13122870508856524,0.36962148299217157
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,loss,loss|alpha=0.2,0.1189264205544259,0.3186757688544295,0.08881460855523089,0.9458217374612957
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,loss,loss|alpha=0.5,0.12163042204934786,0.31544882166211424,0.09241268862095615,0.7363713155477742
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,loss,loss|alpha=0.8,0.12126914385838114,0.3023545593517491,0.09397088214419104,0.521782609432132
