task,region,noise,seed,p_check,ratio
synthetic,hard,gauss,4000,0.03,3.4912805243840723
synthetic,hard,gauss,4001,0.035,3.683478037676348
synthetic,hard,gauss,4002,0.03,5.038498098416544
synthetic,hard,gauss,4003,0.03,2.9982694934567142
synthetic,hard,gauss,4004,0.005,4.863854022231015
synthetic,hard,gauss,4005,0.005,2.633373707824651
synthetic,hard,gauss,4006,0.02,3.433789309581853
synthetic,hard,gauss,4007,0.035,5.489893517965626
synthetic,hard,gauss,4008,0.005,4.187089643024416
synthetic,hard,gauss,4009,0.01,4.102392304592787
synthetic,hard,gauss,4010,0.05,3.750150914680762
synthetic,hard,gauss,4011,0.045,5.469773167843312
synthetic,hard,gauss,4012,0.005,3.6860607001488854
synthetic,hard,gauss,4013,0.015,4.769785497050313
synthetic,hard,gauss,4014,0.04,2.9906343357156437
synthetic,hard,gauss,4015,0.03,3.5463163288353448
synthetic,hard,gauss,4016,0.025,3.1605326108032465
synthetic,hard,gauss,4017,0.015,4.21869199434835
synthetic,hard,gauss,4018,0.005,3.945678548536041
synthetic,hard,gauss,4019,0.01,5.227229218554801
synthetic,hard,gauss,4020,0.04,4.662784392416514
synthetic,hard,gauss,4021,0.01,4.8429540540838385
synthetic,hard,gauss,4022,0.01,4.064693325457295
synthetic,hard,gauss,4023,0.015,3.193837527273272
synthetic,hard,gauss,4024,0.02,4.4262779889487565
synthetic,hard,gauss,4025,0.005,2.6563815378563183
synthetic,hard,gauss,4026,0.04,5.077026535203575
synthetic,hard,gauss,4027,0.025,3.548574096181703
synthetic,hard,gauss,4028,0.02,3.13087104560926
synthetic,hard,gauss,4029,0.01,4.19675172711898
synthetic,hard,gauss,4030,0.01,2.579053921154177
synthetic,hard,gauss,4031,0.03,4.204158717150155
synthetic,hard,gauss,4032,0.055,3.7077470550848766
synthetic,hard,gauss,4033,0.015,4.948967782497425
synthetic,hard,gauss,4034,0.025,4.490058337414579
synthetic,hard,gauss,4035,0.025,4.102921462564045
synthetic,hard,gauss,4036,0.005,5.211975157519363
synthetic,hard,gauss,4037,0.015,3.8988109352470106
synthetic,hard,gauss,4038,0.02,4.664930334680098
synthetic,hard,gauss,4039,0.005,3.61173779279511
synthetic,hard,gauss,4040,0.005,3.4694399811273984
synthetic,hard,gauss,4041,0.01,4.485382910789813
synthetic,hard,gauss,4042,0.025,5.237708779922518
synthetic,hard,gauss,4043,0.015,4.142782946923363
synthetic,hard,gauss,4044,0.02,4.628943777742611
synthetic,hard,gauss,4045,0.035,4.395518967515459
synthetic,hard,gauss,4046,0.01,4.091258157932708
synthetic,hard,gauss,4047,0.015,4.128281882049988
synthetic,hard,gauss,4048,0.005,4.141536217510089
synthetic,hard,gauss,4049,0.01,4.772915708829483
synthetic,hard,outlier,4000,0.2,2.2541942397393098
synthetic,hard,outlier,4001,0.88,3.3872079322192747
synthetic,hard,outlier,4002,0.72,3.0271047541313205
synthetic,hard,outlier,4003,0.12,2.856798437978857
synthetic,hard,outlier,4004,0.025,3.0268914932120294
synthetic,hard,outlier,4005,0.4,3.2866050563812355
synthetic,hard,outlier,4006,0.785,2.6879039475658137
