n_data,iters,amp,freq,seed,region,init_mae,const_mae,ratio,p_gate,dist
500,200,1.0,3.0,3000,hard,0.7804012629821204,0.753502459370874,0.9656257833481761,0.005,0.29418522385370305
500,200,1.0,3.0,3000,none,0.7817491117385429,0.754907044528664,0.9755556187563124,0.005,0.30183559550182415
500,200,1.0,3.0,3001,hard,0.2922716518623682,0.7699586731868101,0.6888261108366724,0.01,0.6294570014723928
500,200,1.0,3.0,3001,none,0.2896302406698355,0.768544443377172,0.6025690393815475,0.01,0.629574812295189
500,200,1.0,3.0,3002,hard,0.3026810962939826,0.7634806460211828,0.7214355691496223,0.015,0.6438901174544653
500,200,1.0,3.0,3002,none,0.2971921291392292,0.7651874545060636,0.6483501091821999,0.015,0.6457186869750876
500,200,1.0,3.0,3003,hard,0.30507387464248653,0.7387843089592254,0.6529451606549213,0.005,0.6144058381586631
500,200,1.0,3.0,3003,none,0.2776590876166804,0.7435495688576028,0.7757961765318575,0.005,0.6140122918258111
500,200,1.0,3.0,3004,hard,0.29072408711226544,0.7742391159963568,0.785975538445828,0.01,0.6265281796474357
500,200,1.0,3.0,3004,none,0.29112195223354026,0.7752247221465973,0.7028920489106567,0.01,0.6274252616917524
500,200,1.0,3.0,3005,hard,0.2955968275645832,0.7676533099739555,0.7677202987274057,0.005,0.6266359009184832
500,200,1.0,3.0,3005,none,0.29552501739671044,0.7674015762475941,0.7712080333537354,0.005,0.6269010047559292
500,200,1.0,3.0,3006,hard,0.2869332324883269,0.7632520393192996,0.7506354578866115,0.02,0.6398040363577799
500,200,1.0,3.0,3006,none,0.28279032262391074,0.7649647263686042,0.7182918474051251,0.025,0.6406051229059108
500,200,1.0,3.0,3007,hard,0.2806598924569481,0.7654096649085895,0.7069768471960514,0.035,0.6428832792241281
500,200,1.0,3.0,3007,none,0.2882979285670673,0.7707080101283507,0.7461660490834405,0.035,0.6434396212457664
500,200,1.0,3.0,3008,hard,0.28963726885835195,0.7616319408869799,0.6815524232644038,0.01,0.668936757120452
500,200,1.0,3.0,3008,none,0.2829499089328615,0.7657192129253845,0.5369113788721019,0.015,0.6680451514199828
500,200,1.0,3.0,3009,hard,0.28227134084044214,0.7452050394036216,0.6518553754776522,0.03,0.6011899901447139
500,200,1.0,3.0,3009,none,0.27906668519005096,0.7462644982817396,0.5512339200272794,0.025,0.6011005488003545
500,200,1.0,3.0,3010,hard,0.3212019985424197,0.7575297940084672,0.7612170774192393,0.11,0.6337385822153014
500,200,1.0,3.0,3010,none,0.3158561368941136,0.7573480628688757,0.7539444819911735,0.105,0.6320392162175542
500,200,1.0,3.0,3011,hard,0.3144888680404881,0.7553023479636485,0.6910423863884373,0.025,0.5994455802476579
500,200,1.0,3.0,3011,none,0.31070891075220897,0.7566508905754039,0.6783935566924185,0.025,0.5988126236389039
500,200,1.0,3.0,3012,hard,0.2893969504801862,0.7438692301528336,0.8130098152715909,0.085,0.5054034020257456
500,200,1.0,3.0,3012,none,0.2853015384915194,0.7455562167555014,0.7597602230694559,0.085,0.505820113107389
500,200,1.0,3.0,3013,hard,0.29309764900826385,0.7500013146568167,0.7308038902253838,0.015,0.6371531200184325
500,200,1.0,3.0,3013,none,0.28540747075805295,0.7520350707979753,0.8035102024321629,0.015,0.6291710428386849
500,200,1.0,3.0,3014,hard,0.8250017591004586,0.7679918491428068,1.1352590911519753,0.005,0.29221907431613137
500,200,1.0,3.0,3014,none,0.8249696518452774,0.7690512065012997,1.125466711915387,0.005,0.2845212485201462
500,200,1.0,3.0,3015,hard,0.29036107724357885,0.7602411698465261,0.7036222249697405,0.01,0.6502329611713433
500,200,1.0,3.0,3015,none,0.2959170419664193,0.7646006968767887,0.7146383188154393,0.01,0.6505745624226389
500,200,1.0,3.0,3016,hard,0.30623388659498824,0.75468062163314,0.6448736040898793,0.035,0.6476102783199468
500,200,1.0,3.0,3016,none,0.30371104272222593,0.7571017532882872,0.5909087377505566,0.025,0.648798754165038
500,200,1.0,3.0,3017,hard,0.2815113568122503,0.7428602566881167,0.7682626464933761,0.025,0.6616514113660985
500,200,1.0,3.0,3017,none,0.28524620848267895,0.7454082293155815,0.665853196086518,0.04,0.6546818816207075
500,200,1.0,3.0,3018,hard,0.30259948003868076,0.7694711092239113,0.8222319138160363,0.005,0.6382263412317428
500,200,1.0,3.0,3018,none,0.297031901837697,0.7722374777125725,0.733799335428388,0.005,0.6355612139968863
500,200,1.0,3.0,3019,hard,0.28467222291331507,0.7483732997007876,0.813292155138795,0.04,0.6137143463428615
500,200,1.0,3.0,3019,none,0.2849345512701898,0.7498917513414844,0.8395849255398085,0.04,0.6161418187082561
500,200,1.0,5.0,3000,hard,0.7835087522390191,0.7561998893840184,0.9434737451919286,0.005,0.29915811964042843
500,200,1.0,5.0,3000,none,0.7817491117385429,0.754907044528664,0.9755556187563124,0.005,0.30183559550182415
500,200,1.0,5.0,3001,hard,0.2987019494969749,0.7712476840952988,0.818342756544365,0.01,0.6302030320819896
500,200,1.0,5.0,3001,none,0.2896302406698355,0.768544443377172,0.6025690393815475,0.01,0.629574812295189
500,200,1.0,5.0,3002,hard,0.3089444226139437,0.7668479262033153,0.890706035892447,0.015,0.6476732083448473
500,200,1.0,5.0,3002,none,0.2971921291392292,0.7651874545060636,0.6483501091821999,0.015,0.6457186869750876
500,200,1.0,5.0,3003,hard,0.31479679431020424,0.7458436446126382,0.9000675169002936,0.005,0.6152876637470933
500,200,1.0,5.0,3003,none,0.2776590876166804,0.7435495688576028,0.7757961765318575,0.005,0.6140122918258111
500,200,1.0,5.0,3004,hard,0.30031473110597434,0.7780968601665234,0.9671629566598363,0.01,0.6273265590092134
500,200,1.0,5.0,3004,none,0.29112195223354026,0.7752247221465973,0.7028920489106567,0.01,0.6274252616917524
500,200,1.0,5.0,3005,hard,0.3065688767644785,0.7717059535454592,1.0392832308895357,0.005,0.6252820758682378
500,200,1.0,5.0,3005,none,0.29552501739671044,0.7674015762475941,0.7712080333537354,0.005,0.6269010047559292
500,200,1.0,5.0,3006,hard,0.2881587584494113,0.7675738936049795,1.0129654790621703,0.025,0.6405092061068935
500,200,1.0,5.0,3006,none,0.28279032262391074,0.7649647263686042,0.7182918474051251,0.025,0.6406051229059108
500,200,1.0,5.0,3007,hard,0.28784139463906633,0.7698994804146969,0.8544187927438192,0.035,0.6425787863216156
500,200,1.0,5.0,3007,none,0.2882979285670673,0.7707080101283507,0.7461660490834405,0.035,0.6434396212457664
