task,region,noise,arm,whole,p,inside,p_in,outside,gate_pass,detect_dist,uni_mae,init_mae,uni_in,init_in,ess,hp,n,family,p_holm,p_in_holm
california,real,real,weakspot,0.25038827386118734,0.020120643634562896,1.2959954043784507,1.2841054282120012e-06,-0.29080885628471986,0.08,,0.6752733955574551,0.7058525861697116,0.6174634272729737,0.6752995662069755,0.3849710927536431,"weakspot|alpha=0.8,sigma=0.1",50,signal,0.06036193090368869,3.852316284636004e-06
california,real,real,gated,0.002373384679497623,1.0,0.10237111880432534,1.0,-0.056727625554256006,0.08,,0.6752733955574551,0.7058525861697116,0.6174634272729737,0.6752995662069755,0.3849710927536431,"weakspot|alpha=0.8,sigma=0.1",50,signal,1.0,1.0
california,real,real,loss,-2.3028006671758012,1.7763568394002505e-15,-2.3532944611621294,1.7763568394002505e-14,-2.1916972479353056,0.08,,0.6752733955574551,0.7058525861697116,0.6174634272729737,0.6752995662069755,0.970419038825012,loss|alpha=0.2,50,signal,1.0658141036401503e-14,8.881784197001252e-14
california,real,real,jtt,-3.676438572241567,1.7763568394002505e-15,-4.178274208535477,5.329070518200751e-15,-3.526196863015854,0.08,,0.6752733955574551,0.7058525861697116,0.6174634272729737,0.6752995662069755,0.9,"jtt|q=0.2,lam=2",50,signal,1.0658141036401503e-14,3.197442310920451e-14
california,real,real,density,-0.09580873782958042,0.029727315082014982,0.07279640360310297,0.7740531775538848,-0.06947896592732047,0.08,,0.6752733955574551,0.7058525861697116,0.6174634272729737,0.6752995662069755,0.9248399682944972,density|alpha=0.2,50,signal,0.06036193090368869,1.0
california,real,real,smoothed_loss,-0.28815152113950093,2.434094703573919e-08,-0.43280928497351834,5.310079487230723e-09,-0.23126046168447217,0.08,,0.6752733955574551,0.7058525861697116,0.6174634272729737,0.6752995662069755,0.9908774408108009,smoothed_loss|alpha=0.2,50,signal,9.736378814295676e-08,2.1240317948922893e-08
california,real,real,random_centre,-0.15681800708028218,0.05178623002471738,-0.32136852892241896,0.12080975020940343,-0.29760116204704473,0.08,,0.6752733955574551,0.7058525861697116,0.6174634272729737,0.6752995662069755,0.4788618391214639,"random_centre|alpha=0.8,sigma=0.1",50,control,0.05178623002471738,0.12080975020940343
synthetic,hard,gauss,weakspot,-2.027518623823248,0.0001302957841744501,4.332379211717008,5.861977570020827e-14,-6.091519709994208,0.96,0.06883681367700274,0.11268473786875945,0.17467043191045917,0.3502026973158381,0.4211120259513902,0.9333815885556335,"weakspot|alpha=0.2,sigma=0.2",50,signal,0.0006514789208722505,2.9309887850104133e-13
synthetic,hard,gauss,gated,-1.9452293268301801,0.00024492515534291215,4.069507442832882,2.3447910280083306e-13,-5.781786313854485,0.96,0.06883681367700274,0.11268473786875945,0.17467043191045917,0.3502026973158381,0.4211120259513902,0.9333815885556335,"weakspot|alpha=0.2,sigma=0.2",50,signal,0.0009797006213716486,9.379164112033322e-13
synthetic,hard,gauss,loss,-2.3698204960104587,7.946967700789287e-06,3.571091828081626,1.7687185049908294e-11,-6.163141669343219,0.96,0.06883681367700274,0.11268473786875945,0.17467043191045917,0.3502026973158381,0.4211120259513902,0.9429690960307592,loss|alpha=0.2,50,signal,4.768180620473572e-05,3.537437009981659e-11
synthetic,hard,gauss,jtt,-0.5180632789356472,0.6253677971440439,4.843166507607053,5.329070518200751e-15,-3.956800946068409,0.96,0.06883681367700274,0.11268473786875945,0.17467043191045917,0.3502026973158381,0.4211120259513902,0.9,"jtt|q=0.2,lam=2",50,signal,0.6253677971440439,3.197442310920451e-14
synthetic,hard,gauss,density,0.9071054823667413,0.01855822259070905,0.2747559992918608,0.1781010477908609,1.2990029474707814,0.96,0.06883681367700274,0.11268473786875945,0.17467043191045917,0.3502026973158381,0.4211120259513902,0.9619008772586125,density|alpha=0.8,50,signal,0.0371164451814181,0.1781010477908609
synthetic,hard,gauss,smoothed_loss,-1.1861915895525703,0.0037864469724659955,2.8462457445219065,3.6770586575585185e-13,-3.757417986487252,0.96,0.06883681367700274,0.11268473786875945,0.17467043191045917,0.3502026973158381,0.4211120259513902,0.9679365025380843,smoothed_loss|alpha=0.2,50,signal,0.011359340917397986,1.1031175972675555e-12
synthetic,hard,gauss,random_centre,-0.08097989077699118,0.645875956795086,0.15162309103749555,0.4963885938865378,-0.22538113746929747,0.96,0.06883681367700274,0.11268473786875945,0.17467043191045917,0.3502026973158381,0.4211120259513902,0.9109833271910078,"random_centre|alpha=0.2,sigma=0.2",50,control,0.645875956795086,0.4963885938865378
synthetic,hard,gauss,oracle,-2.4979661228852894,1.4422642710343325e-05,4.247960310723363,1.7763568394002505e-15,-6.816317059853808,0.96,0.06883681367700274,0.11268473786875945,0.17467043191045917,0.3502026973158381,0.4211120259513902,0.931328632166763,"oracle|alpha=0.2,sigma=0.2",50,control,2.884528542068665e-05,3.552713678800501e-15
synthetic,hard,hetero,weakspot,-0.7191318789995126,0.1255634661063354,3.2033132206695605,3.623269506647375e-08,-2.791570247334582,0.78,0.19753658715042646,0.13011343120858074,0.19694315724410555,0.35837981440131683,0.43088622575343977,0.9340275750301228,"weakspot|alpha=0.2,sigma=0.2",50,signal,0.140880674989603,1.8116347533236876e-07
synthetic,hard,hetero,gated,-0.7710863490198767,0.0704403374948015,2.6455868956325537,5.047659215051681e-07,-2.5752269578887534,0.78,0.19753658715042646,0.13011343120858074,0.19694315724410555,0.35837981440131683,0.43088622575343977,0.9340275750301228,"weakspot|alpha=0.2,sigma=0.2",50,signal,0.140880674989603,1.9522077110423197e-06
synthetic,hard,hetero,loss,-3.17062463571581,4.268415494834699e-06,1.917432901657439,4.880519277605799e-07,-5.859743173091372,0.78,0.19753658715042646,0.13011343120858074,0.19694315724410555,0.35837981440131683,0.43088622575343977,0.9489724637315523,loss|alpha=0.2,50,signal,2.1342077474173493e-05,1.9522077110423197e-06
